0,1	0,00126502
0,2	0,00372945
0,3	0,00733029
0,4	0,01200703
0,5	0,01770159
0,6	0,02435822
0,7	0,03192343
0,8	0,04034587
0,9	0,04957631
1,0	0,05956751
1,1	0,07027417
1,2	0,08165286
1,3	0,09366196
1,4	0,10626157
1,5	0,11941347
1,6	0,13308105
1,7	0,14722924
1,8	0,16182447
1,9	0,17683460
2,0	0,19222888
2,1	0,20797789
2,2	0,22405351
2,3	0,24042882
2,4	0,25707812
2,5	0,27397683
2,6	0,29110149
2,7	0,30842970
2,8	0,32594006
2,9	0,34361217
3,0	0,36142656
3,1	0,37936467
3,2	0,39740882
3,3	0,41554217
3,4	0,43374867
3,5	0,45201306
3,6	0,47032082
3,7	0,48865816
3,8	0,50701194
3,9	0,52536974
4,0	0,54371972
4,1	0,56205068
4,2	0,58035201
4,3	0,59861364
4,4	0,61682605
4,5	0,63498026
4,6	0,65306775
4,7	0,67108051
4,8	0,68901097
4,9	0,70685201
5,0	0,72459692
5,1	0,74223940
5,2	0,75977355
5,3	0,77719382
5,4	0,79449503
5,5	0,81167234
5,6	0,82872122
5,7	0,84563748
5,8	0,86241721
5,9	0,87905679
6,0	0,89555287
6,1	0,91190239
6,2	0,92810249
6,3	0,94415059
6,4	0,96004434
6,5	0,97578157
6,6	0,99136036
6,7	1,00677898
6,8	1,02203587
6,9	1,03712967
7,0	1,05205919
7,1	1,06682340
7,2	1,08142143
7,3	1,09585257
7,4	1,11011624
7,5	1,12421199
7,6	1,13813952
7,7	1,15189863
7,8	1,16548924
7,9	1,17891140
8,0	1,19216524
8,1	1,20525101
8,2	1,21816904
8,3	1,23091975
8,4	1,24350365
8,5	1,25592132
8,6	1,26817344
8,7	1,28026072
8,8	1,29218398
8,9	1,30394407
9,0	1,31554191
9,1	1,32697848
9,2	1,33825481
9,3	1,34937198
9,4	1,36033111
9,5	1,37113336
9,6	1,38177994
9,7	1,39227209
9,8	1,40261109
9,9	1,41279824
10,0	1,42283488
10,1	1,43272237
10,2	1,44246210
10,3	1,45205548
10,4	1,46150394
10,5	1,47080893
10,6	1,47997191
10,7	1,48899437
10,8	1,49787779
10,9	1,50662368
11,0	1,51523355
11,1	1,52370893
11,2	1,53205135
11,3	1,54026234
11,4	1,54834344
11,5	1,55629620
11,6	1,56412216
11,7	1,57182287
11,8	1,57939986
11,9	1,58685470
12,0	1,59418892
12,1	1,60140407
12,2	1,60850167
12,3	1,61548327
12,4	1,62235038
12,5	1,62910454
12,6	1,63574726
12,7	1,64228004
12,8	1,64870438
12,9	1,65502179
13,0	1,66123373
13,1	1,66734169
13,2	1,67334712
13,3	1,67925149
13,4	1,68505624
13,5	1,69076279
13,6	1,69637258
13,7	1,70188700
13,8	1,70730746
13,9	1,71263534
14,0	1,71787202
14,1	1,72301886
14,2	1,72807720
14,3	1,73304837
14,4	1,73793371
14,5	1,74273451
14,6	1,74745208
14,7	1,75208769
14,8	1,75664260
14,9	1,76111808
15,0	1,76551537
15,1	1,76983567
15,2	1,77408022
15,3	1,77825020
15,4	1,78234680
15,5	1,78637118
15,6	1,79032450
15,7	1,79420790
15,8	1,79802251
15,9	1,80176943
16,0	1,80544978
16,1	1,80906462
16,2	1,81261502
16,3	1,81610205
16,4	1,81952675
16,5	1,82289014
16,6	1,82619323
16,7	1,82943704
16,8	1,83262253
16,9	1,83575069
17,0	1,83882247
17,1	1,84183882
17,2	1,84480067
17,3	1,84770894
17,4	1,85056453
17,5	1,85336835
17,6	1,85612126
17,7	1,85882413
17,8	1,86147782
17,9	1,86408317
18,0	1,86664101
18,1	1,86915216
18,2	1,87161741
18,3	1,87403756
18,4	1,87641339
18,5	1,87874567
18,6	1,88103516
18,7	1,88328259
18,8	1,88548870
18,9	1,88765422
19,0	1,88977985
19,1	1,89186629
19,2	1,89391424
19,3	1,89592436
19,4	1,89789732
19,5	1,89983378
19,6	1,90173439
19,7	1,90359978
19,8	1,90543057
19,9	1,90722738
