Wsp. x,	Wsp. y1,	Wsp. y2,	Zak
17.6,	30.42,	26.4128,	0
17.7,	31.69,	26.2789,	0
17.8,	32.92,	26.1513,	0
17.9,	34.11,	26.0302,	0
18.0,	35.26,	25.9156,	0
18.1,	36.37,	25.8078,	0
18.2,	37.43,	25.7068,	0
18.3,	38.45,	25.6127,	0
18.4,	39.42,	25.5255,	0
18.5,	40.34,	25.4454,	0
18.6,	41.22,	25.3723,	0
18.7,	42.04,	25.3062,	0
18.8,	42.82,	25.2472,	0
18.9,	43.55,	25.1952,	0
19.0,	44.22,	25.1502,	0
19.1,	44.84,	25.1121,	0
19.2,	45.41,	25.0809,	0
19.3,	45.94,	25.0565,	0
19.4,	46.40,	25.0389,	0
19.5,	46.82,	25.0278,	0
19.6,	47.19,	25.0232,	0
19.7,	47.51,	25.0250,	0
19.8,	47.77,	25.0330,	0
19.9,	47.99,	25.0471,	0
20.0,	48.16,	25.0671,	0
20.1,	48.28,	25.2037,	1
20.2,	34.89,	25.3421,	1
20.3,	34.19,	25.4821,	1
20.4,	33.46,	25.6234,	1
20.5,	32.69,	25.7658,	1
20.6,	31.88,	25.9091,	1
20.7,	31.05,	26.0530,	1
20.8,	30.20,	26.1972,	1
20.9,	29.32,	26.3415,	1
21.0,	28.42,	26.4856,	1
21.1,	27.50,	26.6293,	1
21.2,	26.57,	26.7723,	1
21.3,	25.63,	26.9144,	1
21.4,	24.67,	27.0552,	1
21.5,	23.71,	27.1946,	1
21.6,	22.75,	27.3324,	1
21.7,	21.78,	27.4681,	1
21.8,	20.82,	27.6017,	1
21.9,	19.86,	27.7329,	1
22.0,	18.90,	27.8614,	1
22.1,	17.96,	27.9871,	1
22.2,	17.02,	28.1096,	1
22.3,	16.10,	28.2289,	1
22.4,	15.20,	28.3448,	1
22.5,	14.31,	28.4569,	1
22.6,	13.45,	28.5652,	1
22.7,	12.60,	28.6695,	1
22.8,	11.78,	28.7696,	1
22.9,	10.99,	28.8654,	1
23.0,	10.22,	28.9567,	1
23.1,	9.49,	29.0434,	1
23.2,	8.78,	29.1254,	1
23.3,	8.11,	29.2026,	1
23.4,	7.47,	29.2749,	1
23.5,	6.87,	29.3421,	1
23.6,	6.31,	29.4044,	1
23.7,	5.78,	29.4615,	1
23.8,	5.29,	29.5134,	1
23.9,	4.84,	29.5601,	1
24.0,	4.43,	29.6016,	1
24.1,	4.06,	29.6379,	1
24.2,	3.74,	29.6689,	1
24.3,	3.45,	29.6947,	1
24.4,	3.21,	29.7153,	1
24.5,	3.01,	29.7308,	1
24.6,	2.85,	29.7412,	1
24.7,	2.73,	29.7465,	1
24.8,	2.66,	29.7468,	1
24.9,	2.63,	29.7422,	1
25.0,	2.64,	29.7328,	1
25.1,	2.69,	29.7187,	1
25.2,	2.78,	29.7000,	1
25.3,	2.91,	29.6768,	1
25.4,	3.08,	29.6493,	1
25.5,	3.29,	29.6176,	1
25.6,	3.53,	29.5818,	1
25.7,	3.82,	29.5420,	1
25.8,	4.14,	29.4986,	1
25.9,	4.49,	29.4515,	1
26.0,	4.87,	29.4010,	1
26.1,	5.29,	29.3473,	1
26.2,	5.74,	29.2906,	1
26.3,	6.21,	29.2310,	1
26.4,	6.72,	29.1687,	1
26.5,	7.25,	29.1039,	1
26.6,	7.80,	29.0369,	1
26.7,	8.38,	28.9678,	1
26.8,	8.97,	28.8969,	1
26.9,	9.59,	28.8243,	1
27.0,	10.23,	28.7503,	1
27.1,	10.88,	28.6750,	1
27.2,	11.54,	28.5987,	1
27.3,	12.22,	28.5216,	1
27.4,	12.90,	28.4439,	1
27.5,	13.60,	28.3658,	1
27.6,	14.30,	28.2875,	1
27.7,	15.01,	28.2093,	1
27.8,	15.72,	28.1312,	1
27.9,	16.44,	28.0535,	1
28.0,	17.15,	27.9765,	1
28.1,	17.86,	27.9002,	1
28.2,	18.57,	27.8249,	1
28.3,	19.27,	27.7508,	1
28.4,	19.97,	27.6780,	1
28.5,	20.65,	27.6067,	1
28.6,	21.33,	27.5371,	1
28.7,	22.00,	27.4694,	1
28.8,	22.65,	27.4035,	1
28.9,	23.28,	27.3399,	1
29.0,	23.91,	27.2784,	1
29.1,	24.51,	27.2194,	1
29.2,	25.10,	27.1629,	1
29.3,	25.66,	27.1090,	1
29.4,	26.20,	27.0578,	1
29.5,	26.73,	27.0094,	1
29.6,	27.23,	26.9640,	1
29.7,	27.70,	26.9216,	1
29.8,	28.15,	26.8822,	1
29.9,	28.58,	26.8460,	1
30.0,	28.98,	26.8130,	1
30.1,	29.35,	26.7832,	1
30.2,	29.69,	26.7567,	1
30.3,	30.01,	26.7335,	1
30.4,	30.29,	26.7136,	1
30.5,	30.55,	26.6971,	1
30.6,	30.78,	26.6839,	1
30.7,	30.98,	26.6740,	1
30.8,	31.15,	26.6675,	1
30.9,	31.29,	26.6643,	1
31.0,	31.40,	26.6644,	1
31.1,	31.48,	26.6677,	1
31.2,	31.53,	26.6742,	1
31.3,	31.55,	26.6839,	1
31.4,	31.54,	26.6966,	1
31.5,	31.51,	26.7124,	1
31.6,	31.44,	26.7311,	1
31.7,	31.35,	26.7527,	1
31.8,	31.23,	26.7770,	1
31.9,	31.09,	26.8041,	1
32.0,	30.91,	26.8337,	1
32.1,	30.72,	26.8659,	1
32.2,	30.50,	26.9004,	1
32.3,	30.25,	26.9372,	1
32.4,	29.99,	26.9761,	1
32.5,	29.70,	27.0171,	1
32.6,	29.39,	27.0600,	1
32.7,	29.06,	27.1047,	1
32.8,	28.72,	27.1511,	1
32.9,	28.35,	27.1989,	1
33.0,	27.97,	27.2482,	1
33.1,	27.58,	27.2987,	1
33.2,	27.17,	27.3503,	1
33.3,	26.74,	27.4029,	1
33.4,	26.31,	27.4563,	1
33.5,	25.86,	27.5104,	1
33.6,	25.41,	27.5650,	1
