0,5	15,00000000	0,38961039
1,0	0,00000000	0,68814303
1,5	14,17383482	1,27998049
2,0	15,00000000	2,11413981
2,5	15,00000000	3,12628811
3,0	13,13090175	4,21543634
3,5	10,49436026	5,28195813
4,0	8,09982136	6,25480218
4,5	6,29957650	7,09525664
5,0	5,11928329	7,79097843
5,5	4,44895614	8,34747508
6,0	4,14425066	8,78034293
6,5	4,07365209	9,10942127
7,0	4,13537771	9,35495419
7,5	4,25894251	9,53540751
8,0	4,40016278	9,66647398
8,5	4,53433841	9,76084009
9,0	4,64988347	9,82838416
9,5	4,74326587	9,87657626
10,0	4,81538653	9,91093630
10,5	4,86920281	9,93546970
11,0	4,90829887	9,95304284
11,5	4,93611400	9,96568665
12,0	4,95559268	9,97483116
12,5	4,96908301	9,98148059
13,0	4,97836606	9,98634055
13,5	4,98474254	9,98990863
14,0	4,98913454	9,99253779
14,5	4,99218054	9,99448029
15,0	4,99431479	9,99591795
15,5	4,99582890	9,99698288
16,0	4,99691735	9,99777180
16,5	4,99770973	9,99835600
17,0	4,99829286	9,99878823
17,5	4,99872564	9,99910767
18,0	4,99904870	9,99934346
18,5	4,99929063	9,99951730
19,0	4,99947200	9,99964531
19,5	4,99960789	9,99973948
20,0	4,99970952	9,99980870
